report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
1994,521301,9375,73,508,6142,2652,1798.4,14,97.5,1178.2,508.7
1994,1026696,1963,13,77,866,1007,191.2,1.3,7.5,84.4,98.1
1994,493990,9321,424,436,3639,4822,1886.9,85.8,88.3,736.7,976.1
1994,7336224,136522,1561,2666,59755,72540,1860.9,21.3,36.3,814.5,988.8
1994,271025,10409,96,207,4331,5775,3840.6,35.4,76.4,1598,2130.8
1994,379695,8330,140,323,3990,3877,2193.9,36.9,85.1,1050.8,1021.1
1994,461271,6471,65,546,4112,1748,1402.9,14.1,118.4,891.5,379
1994,344975,3930,33,217,2762,918,1139.2,9.6,62.9,800.6,266.1
1994,180288,4109,17,144,2853,1095,2279.1,9.4,79.9,1582.5,607.4
1994,1560576,20638,404,721,6807,12706,1322.5,25.9,46.2,436.2,814.2
1994,1076108,11627,231,438,7507,3451,1080.5,21.5,40.7,697.6,320.7
1994,368594,4105,64,261,1311,2469,1113.7,17.4,70.8,355.7,669.8
1994,463072,8808,50,400,6014,2344,1902.1,10.8,86.4,1298.7,506.2
1994,637404,7378,115,380,3385,3498,1157.5,18,59.6,531.1,548.8
1994,228090,2170,30,89,1226,825,951.4,13.2,39,537.5,361.7
1994,389458,4698,62,174,2170,2292,1206.3,15.9,44.7,557.2,588.5
1994,174827,1320,20,158,640,502,755,11.4,90.4,366.1,287.1
1994,999900,6471,194,565,2931,2781,647.2,19.4,56.5,293.1,278.1
1994,1168785,12599,113,403,8238,3845,1078,9.7,34.5,704.8,329
1994,741568,10837,91,292,3830,6624,1461.4,12.3,39.4,516.5,893.2
1994,815235,5915,33,375,4398,1109,725.6,4.1,46,539.5,136
1994,540268,6538,69,318,3615,2536,1210.1,12.8,58.9,669.1,469.4
1994,390437,14644,248,304,8067,6025,3750.7,63.5,77.9,2066.2,1543.1
1994,1209231,2523,37,40,1220,1226,208.6,3.1,3.3,100.9,101.4
1994,294663,10262,62,298,6524,3378,3482.6,21,101.1,2214.1,1146.4
1994,441402,4882,37,289,3544,1012,1106,8.4,65.5,802.9,229.3
1994,381640,4639,42,296,3230,1071,1215.5,11,77.6,846.4,280.6
1994,427471,1158,33,145,371,609,270.9,7.7,33.9,86.8,142.5
1994,570000,15177,399,249,8218,6311,2662.6,70,43.7,1441.8,1107.2
1994,316629,2350,42,224,1024,1060,742.2,13.3,70.8,323.4,334.8
1995,419714,4735,53,296,2763,1623,1128.2,12.6,70.5,658.3,386.7
1995,292324,2576,9,154,1892,521,881.2,3.1,52.7,647.2,178.2
1995,404337,14744,184,441,8859,5260,3646.5,45.5,109.1,2191,1300.9
1995,256957,1958,18,138,1253,549,762,7,53.7,487.6,213.7
1995,523691,4050,46,308,2360,1336,773.4,8.8,58.8,450.7,255.1
1995,716904,7663,38,248,4909,2468,1068.9,5.3,34.6,684.8,344.3
1995,712209,21492,322,683,9134,11353,3017.7,45.2,95.9,1282.5,1594.1
1995,550715,9569,96,379,5497,3597,1737.6,17.4,68.8,998.2,653.2
1995,312395,6333,62,261,3174,2836,2027.2,19.9,83.6,1016,907.8
